ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity
1.1873950397628463,1.357129853269364,1.8013623672596906,1.7077324971806054,1.128116704201364,1.353633474793519,1.2374289089144537,1.0503301480083473,1.518885891830303
0.0016536247234256764,-0.9321118230530827,1.1837099365993033,-1.6169034676062748,-0.5391901631085874,-0.5038203412007474,0.6166315309583592,1.7382452373882,0.02580554281067943
-0.525108103929686,-0.27758239858998707,-0.31106052928562206,-0.14361850752762678,-0.32296602161463134,-0.7639425843989324,-0.39407160782630246,-0.534252218027087,-0.05962032039720243
-1.52963478893516,-2.073348903120066,0.7855901098660903,0.35968758547723045,1.1503788223991265,1.0768996112571307,0.5111214053093346,1.8072390380750147,0.1229902831272547
0.11167697993239048,-1.0963564559025676,-1.1964068458079071,-1.0393867644595407,-0.5223179163580016,-0.5814010707944057,-0.4891271580461719,-1.3795971974802677,-0.8893422974119155
1.4838946123968018,1.3289900781669126,1.4200373552837002,1.5542493591269688,1.5670087704341171,1.2469047513894391,1.5114622916499927,1.5394718066436572,1.5136505163763343
0.8809298714112473,-2.331237377056029,1.640284779659754,1.9306080063317066,0.28307466460905734,-0.06497036200726261,1.0591856419432424,-0.45078416286109385,-0.045828051104178445
-2.211110657737125,-1.655494793918669,0.8917350860134639,1.2055437978720014,-0.4280134455411192,0.8963246438610285,-0.6080860707291418,-1.0288029414764044,-0.4440184531658874
1.7446464458287727,-1.441980092394078,-1.049449347788303,-1.4245927567788723,0.08213109641567752,-1.6941554585636063,-1.7835084203296385,-0.5479882981823399,-0.9317208210006838
1.4317396767308206,1.403167934373048,1.5188584029242391,1.3947200721023358,1.369882526368614,1.3127826364853448,1.481754780935366,1.2408467311993552,1.5166950291672912
-0.36616821587801035,-0.31403719195991814,-0.34918024989770713,-0.21686378767930453,-0.04078389886653278,-0.20948896191827565,-0.5621393714720739,0.006091416690735168,-0.2286417249766962
-0.13980691053269104,0.5693200692205083,-1.179473422340213,-1.0387161148275856,-0.6174765560210873,-0.625501408573159,-0.43663279038983893,-1.3545092012087574,-0.9639132091545682
-0.6636103122458272,-0.6641509803942699,-0.227383279693779,-0.06951639820114618,-0.1402990828725371,-0.3240390891091284,-0.49547534984275604,-0.3126696234985663,0.022384382781320572
-0.31092836023010373,-0.4492605089275149,-0.3110711661838363,-0.12223639093457411,-0.3525551061632516,-0.3246543181760705,-0.2677231894286942,0.013514980742732169,-0.4230217144745153
-0.6643157484302968,-0.6321656080812488,-0.045555637620491383,-0.2788645635734917,-0.2266023700060168,-0.647803504981172,-0.48512799792064815,-0.10363642674115323,-0.31617477970916086
0.9054126411678697,-0.9545923723549493,-1.1990242914408475,-1.0195094013604116,-0.5118736938925661,-0.6564386293062991,-0.5055027911192351,-1.366760909964837,-0.9802776281845771
-0.6779597897765094,-0.3030009539411365,-0.14818449891631777,-0.27295799593676234,0.011700476373754088,-0.09096710924998978,-0.14782310022304607,-0.20277315178683072,-0.3040438827263765
1.1539114520761988,1.4051360648362057,1.4025970976258808,1.4754822877026246,1.5127067542993344,1.4637014614500223,1.1377809965954957,1.1733696041610375,1.6148052770832853
0.9183134815878073,-0.813868308754135,-0.8382603729726287,0.21307566083798918,1.772208840509938,0.6371595104459064,-1.6224309214737647,0.7653439122843585,-0.32238836836566614
1.1415854111507744,-0.2608487401759,-1.1747664847061035,-1.010903365765607,-0.5366079100353779,-0.578082281419267,-0.46681592434652885,-1.3495273894434763,-0.979619519179873
-0.7005941590647488,-0.24391125401569516,-0.19121179199718874,-0.06380557803267241,0.0937246279130018,-0.5545550685946737,-0.5465531324527367,-0.34140992809721227,-0.1598355371847128
-0.018527506588181357,-2.2789149448094097,1.6588353131138454,-0.03626811641066633,-0.8622457356757702,0.5926069191116217,0.7405035455309156,-0.8545688031174107,1.3929348912815007
