STN Code,Name of Monitoring Location,Type Water Body,State Name,Min Temperature,Max Temperature,Min Dissolved Oxygen,Max Dissolved Oxygen,Min pH,Max pH,Min Conductivity,Max Conductivity,Min BOD,Max BOD,Min Nitrate N + Nitrite N,Max Nitrate N + Nitrite N,Min Fecal Coliform,Max Fecal Coliform,Min Total Coliform,Max Total Coliform
3198.0,"GOMTI LAKE, OPP,  RANCHODAJI TEMPLE,  DAKOR, KHEDAGOMTI  LAKE, OPP: RANCHODAJI  TEMPLE, DAKOR, KHEDA",LAKE,GUJARAT,25,33,4.0,6.3,7.7,8.5,476,831,1.0,3.9,0.32,0.66,11,350,110,540
3199.0,"HAMISAR TALAV,  BHUJPATVADI  NAKU,NEAR ASHAPURA  TEMPLE,TA:BHUJ,DIST:KU TCH(WEST)",LAKE,GUJARAT,25,29,5.1,6.2,7.4,8.2,390,970,2.0,3.1,0.32,0.43,4,7,11,26
1343.0,"KANKORIA LAKE AT  AHMEDABAD, NR.  BALVATIKA,",LAKE,GUJARAT,22,32,2.9,8.5,8.3,8.8,2644,3950,2.2,25.0,0.32,1.00,540,920,920,1600
2078.0,"KUWADAVA LAKE, NR.  KUVADVA GIDC, NH-8-B,  VILL. KUWADAVA, DIST.  RAJKOT.KUVADVA LAKE,  VILLAGE KUVADVA, DIST.  RAJKOT",LAKE,GUJARAT,26,29,6.5,7.3,7.1,8.2,340,2260,1.8,2.3,0.04,0.47,70,350,170,920
1975.0,"LAKHOTA TALAV,  JAMNAGARLAKHOTA  LAKE, NEAR  PANCHESHWAR TOWER,  JAMNAGAR",LAKE,GUJARAT,24,29,4.0,5.8,7.1,7.7,526,814,1.0,1.7,0.32,0.36,4,7,21,26
3201.0,"MALAV TALAV, DHOLKA  DHOLKA",LAKE,GUJARAT,23,36,0.3,6.8,8.7,9.1,3408,6004,3.7,34.0,0.32,0.78,49,920,170,1600
3200.0,MOONSAR LAKE OF  VIRAMGAMVIRAMGAM,LAKE,GUJARAT,20,30,0.3,6.7,7.9,9.1,1592,14400,16.0,70.0,0.33,1.02,2,920,220,1600
2077.0,"MOTICHER LAKE NEAR  KAKARPAR ATOMIC  POWER STATION, DIST.  SURAT.NEAR BRIDGE,  MOTICHER,SURAT",LAKE,GUJARAT,25,31,7.0,7.9,6.8,8.5,350,506,1.0,1.1,0.30,0.30,2,2,4,14
1972.0,"NALSAROVAR LAKE  (SANAND),  DIST.AHMEDABADNALSA ROVAR LAKE (SANAND),  DIST.AHMEDABAD",LAKE,GUJARAT,20,29,1.2,8.0,7.7,8.6,1322,20062,2.2,27.0,0.32,0.85,12,170,70,920
1976.0,"NARSIMEHTA TALAV-  JUNAGADHNARSINH  MEHTA TALAV, AT:  JUNAGADH,  TAL:JUNAGADH, DIST:  JUNAGADH.",LAKE,GUJARAT,23,30,6.5,7.3,7.1,8.4,312,1130,2.0,2.4,0.32,0.37,5,33,20,79
1346.0,"SURSAGAR LAKE AT  BARODA,",LAKE,GUJARAT,25,32,5.3,6.8,8.1,9.0,601,1053,1.2,3.3,0.36,4.34,63,240,170,350
1971.0,"THOL LAKE (KALOL) (DIST.  MEHASANA)THOL POND,  VILL: THOL, TAL -KADI,  DIST : MEHSANA",LAKE,GUJARAT,23,35,1.6,7.4,7.7,8.5,1200,3046,4.1,28.0,0.30,0.94,12,920,47,1600
3202.0,"VHERAIMATA TALAV AT  ANANDVHERAI MATA  TALAV, OPP. VHERAI  MATA MANDIR, ANAND  TA. & DIST. ANAND",LAKE,GUJARAT,27,29,5.2,5.8,7.8,8.5,307,813,1.0,2.6,0.47,1.23,63,94,110,240
2079.0,"DHUDHIA TALAV AT  NAVSARI, DIST.  NAVSARI.AT-  KAGADIWAD, NAVSARI  CITY, TA & DI. NAVSARI,  GUJARAT.",POND,GUJARAT,28,30,6.6,8.2,7.8,8.5,345,540,1.0,2.0,0.32,0.36,2,12,12,46
1979.0,"OLPAD, VILLAGE  POND:OLPAD,  SURATNEAR ROAD, NEAR  TEMPLE, OLPAD,SURAT",POND,GUJARAT,25,31,6.8,8.3,7.5,8.4,522,1623,1.0,2.2,0.30,0.40,2,17,21,40
1349.0,BRAHMSAROVAR LAKE  AT KURUKSHETRA,LAKE,HARYANA,,,7.8,7.9,7.2,8.0,269,324,2.2,4.5,0.30,0.30,100,200,800,900
1392.0,"KAUSSHALAYA LAKE,  PINJORE, PANCHKULA",LAKE,HARYANA,,,6.4,7.6,7.6,8.0,299,392,1.0,4.6,0.30,0.30,400,400,100,2100
3033.0,SOHNA LAKE,LAKE,HARYANA,18,25,6.4,7.0,7.0,7.3,1050,1270,4.0,10.0,0.60,2.20,2400,7600,14000,31000
3032.0,"SULTANPUR LAKE,  GURUGRAM",LAKE,HARYANA,5,35,6.5,7.5,7.0,7.4,810,1120,4.0,9.0,1.80,1.80,750,4200,4200,9200
4857.0,"SANHIT SAROVAR,  KURUSHETRA",POND,HARYANA,,,6.5,8.5,7.3,7.9,394,825,2.2,3.2,0.30,0.30,200,200,700,700
1291.0,GOBINDSAGAR LAKE D/S  OF BILASPUR TOWN,LAKE,HIMACHAL  PRADESH,10,28,8.6,9.6,7.6,8.5,165,650,1.0,1.0,0.32,1.62,94,540,540,1600
2650.0,KHAZIAR LAKE,LAKE,HIMACHAL  PRADESH,7,23,5.5,9.9,6.7,8.0,46,179,1.0,1.0,0.30,4.67,2,130,14,1600
1429.0,RENUKA LAKE AT RENUKA  SIRMAUR,LAKE,HIMACHAL  PRADESH,18,25,6.7,8.1,7.8,8.3,309,747,1.0,2.6,0.32,0.91,26,130,170,350
2649.0,REWALSAR LAKE  (TOWARDS MELA  GROUND),LAKE,HIMACHAL  PRADESH,9,27,6.2,8.4,7.4,8.4,158,340,1.0,3.6,0.32,3.83,130,1600,920,1600
2738.0,(MANSAR LAKE AT MID  POINT(MANSAR LAKE),LAKE,JAMMU &  KASHMIR,14,22,7.5,8.1,7.1,7.6,144,163,1.0,1.0,-,-,-,-,-,-
2740.0,"(MANSAR LAKE AT MID  POINT(SURINSAR LAKE),  J&K",LAKE,JAMMU &  KASHMIR,16,24,6.4,6.8,8.1,8.2,138,176,3.0,3.5,-,-,-,-,-,-
3257.0,DAL LAKE AT HABAK,LAKE,JAMMU &  KASHMIR,24,24,6.7,6.7,8.0,8.0,376,376,1.1,1.1,-,-,-,-,-,-
